device_type,zone_id,protocol,mqtt_msg_type,src_port,dst_port,packet_size,packets_per_second,connection_duration,bytes_transferred,unique_dst_ips_contacted,avg_request_interval,syn_flag_count,rst_flag_count,failed_login_attempts,is_encrypted,mac_ip_mismatch,signal_preemption_request,gps_deviation_km,hour_of_day,day_type,label
dispatch_server,downtown,HTTPS,none,12386,443,541,10.187,1.44,6596,1,2.302,0,0,51,1,0,0,0.0,14,weekday,brute_force
ambulance_tracker,hospital_zone,HTTPS,none,19846,443,260,2.742,16.67,18009,3,110.994,1,0,0,1,0,0,0.128,5,weekend,normal
dispatch_server,downtown,HTTPS,none,15181,443,807,15.453,76.8,150709,1,58.33,0,0,0,0,0,0,0.0,6,weekday,normal
signal_controller,residential,MQTT,subscribe,28399,1883,202,2.763,216.41,2934,1,129.335,1,0,0,1,0,0,0.0,17,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,1918,443,273,3.421,43.44,16747,2,70.126,1,0,0,0,1,1,2.344,19,weekday,spoofing
dispatch_server,hospital_zone,HTTPS,none,30833,443,476,16.633,4.24,26465,4,1.339,1,0,1,1,0,1,0.0,22,weekday,command_injection
signal_controller,arterial_road,MQTT,subscribe,16412,1883,195,2.735,127.13,2145,1,41.959,1,0,1,1,0,0,0.0,9,weekday,normal
ambulance_tracker,downtown,HTTPS,none,22674,443,287,2.605,81.55,32620,1,182.543,0,0,0,1,1,0,11.167,22,weekday,spoofing
signal_controller,arterial_road,MQTT,subscribe,64877,1883,131,0.785,233.21,7467,1,72.924,0,0,0,0,0,0,0.0,7,weekend,normal
traffic_camera,arterial_road,TCP,none,10544,8080,1334,15.112,190.09,226264,3,48.933,3,0,0,1,0,0,0.0,1,weekday,normal
ambulance_tracker,downtown,HTTPS,none,31598,443,210,2.855,74.73,17804,1,254.183,1,0,0,1,0,0,0.093,8,weekend,normal
dispatch_server,hospital_zone,HTTPS,none,30313,443,200,10.534,7.58,139554,3,373.098,0,0,0,1,0,0,0.0,18,weekday,normal
ambulance_tracker,downtown,HTTPS,none,45652,443,204,2.826,40.28,2857,2,82.502,0,0,0,1,0,0,0.033,6,weekday,normal
ambulance_tracker,downtown,HTTPS,none,16525,443,146,3.615,56.13,20506,2,152.746,0,0,0,0,0,0,0.013,3,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,41291,65070,75,12.629,0.36,1840,49,0.2327,0,0,0,1,0,0,0.0,12,weekday,port_scan
